timestamp_ns,symbol,bid_px,ask_px,bid_qty,ask_qty
1700000000000000000,SYM0,99.9900,100.0100,500,500
1700000000001000000,SYM1,249.9900,250.0100,300,300
1700000000002000000,SYM2,49.9900,50.0100,1000,1000
1700000000003000000,SYM3,999.9900,1000.0100,100,100
1700000000004000000,SYM0,99.9800,100.0200,450,550
1700000000005000000,SYM1,249.9800,250.0200,280,320
1700000000006000000,SYM2,49.9800,50.0200,950,1050
1700000000007000000,SYM3,999.9800,1000.0200,90,110
1700000000008000000,SYM0,100.0000,100.0200,500,500
1700000000009000000,SYM1,250.0000,250.0200,300,300
1700000000010000000,SYM2,50.0000,50.0200,1000,1000
1700000000011000000,SYM3,1000.0000,1000.0200,100,100
1700000000012000000,SYM0,99.9900,100.0100,500,500
1700000000013000000,SYM1,249.9900,250.0100,300,300
1700000000014000000,SYM2,49.9900,50.0100,1000,1000
1700000000015000000,SYM3,999.9900,1000.0100,100,100
1700000000016000000,SYM0,99.9800,100.0000,500,500
1700000000017000000,SYM1,249.9800,250.0000,300,300
1700000000018000000,SYM2,49.9800,50.0000,1000,1000
1700000000019000000,SYM3,999.9800,1000.0000,100,100
